"Freq [MHz]","re(Zt(1_T1,1_T1)) []","mag(Zt(1_T1,1_T1)) []","im(Zt(1_T1,1_T1)) []","ang_deg_val(Zt(1_T1,1_T1)) []","re(Zt(2_T1,1_T1)) []","mag(Zt(2_T1,1_T1)) []","im(Zt(2_T1,1_T1)) []","ang_deg_val(Zt(2_T1,1_T1)) []","re(Zt(2_T1,2_T1)) []","mag(Zt(2_T1,2_T1)) []","im(Zt(2_T1,2_T1)) []","ang_deg_val(Zt(2_T1,2_T1)) []"
0.1,0.0583166407108432,1.45460706524485,1.45343760914476,87.7023395616672,4.48591870580741E-05,0.0280789370032738,0.0280789011695108,89.90846365787,0.0350085290372544,1.49635639337273,1.49594681017812,88.6593942439894
0.100925288607668,0.0583419353822418,1.46802367935703,1.46686391384095,87.7223615202646,4.49956662271143E-05,0.028338711379768,0.0283386756581145,89.9090268142442,0.0350213689067191,1.51017890409922,1.50977277300468,88.6711796061617
0.101859138805412,0.0583672879280901,1.48156435472377,1.48041419774602,87.7422074854071,4.51342891081137E-05,0.0286008882706677,0.0286008526580444,89.9095830407058,0.0350341552819985,1.52412930011576,1.52372659340022,88.6828636875016
0.102801629812647,0.0583926942737619,1.49523023861626,1.49408960900204,87.7618791750114,4.52750742376336E-05,0.0288654898779796,0.0288654543713311,89.9101324195239,0.0350468863517173,1.53820876668359,1.53780945687666,88.6944474034667
0.103752841581801,0.058418150310782,1.50902248904657,1.50789130648153,87.7813782887378,4.54180397351108E-05,0.0291325386087633,0.0291325032050586,89.9106750331761,0.0350595603391388,1.55241850006872,1.552022559947,88.7059316588766
0.10471285480509,0.0584436518995066,1.5229422748674,1.52182045988709,87.800706508074,4.55632032779654E-05,0.0294020570770355,0.0294020217732686,89.9112109643571,0.0350721755030556,1.56675970764239,1.56636711022581,88.7173173480482
0.105681750921366,0.0584691948718688,1.53699077587248,1.53587824985189,87.8198654964217,4.57105820755823E-05,0.0296740681056935,0.0296740328988836,89.9117402959894,0.0350847301385772,1.58123360798235,1.5808443265306,88.7286053549334
0.106659612123026,0.0584947750341226,1.55116918289787,1.55006586804102,87.8388568991864,4.58601928427274E-05,0.0299485947284565,0.0299485596156483,89.9122631112323,0.0350972225779268,1.59584143097527,1.59545543898427,88.7397965532549
0.107646521362983,0.058520388169665,1.56547869792415,1.5643845172536,87.8576823438688,4.60120517723982E-05,0.0302256601918256,0.0302256251700904,89.912779493491,0.0351096511911665,1.61058441791986,1.61020168911832,88.7508918066437
0.108642562361707,0.0585460300418501,1.57992053417932,1.57883541152579,87.8763434401602,4.61661745081179E-05,0.0305052879570636,0.0305052530234991,89.9132895264256,0.0351220143868864,1.62546382163117,1.62508432997713,88.7618919687759
