"Freq [MHz]","re(Zt(1_T1,1_T1)) []","mag(Zt(1_T1,1_T1)) []","im(Zt(1_T1,1_T1)) []","ang_deg(Zt(1_T1,1_T1)) [deg]","re(Zt(2_T1,1_T1)) []","mag(Zt(2_T1,1_T1)) []","im(Zt(2_T1,1_T1)) []","ang_deg(Zt(2_T1,1_T1)) [deg]","re(Zt(2_T1,2_T1)) []","mag(Zt(2_T1,2_T1)) []","im(Zt(2_T1,2_T1)) []","ang_deg(Zt(2_T1,2_T1)) [deg]"
0.1,0.0285252479887329,1.17312040821853,1.172773551205,88.6066754905671,3.9409289572268E-05,0.0331445425210513,0.0331445190919657,89.9318745613488,0.0665961013301689,2.00472923549986,2.003622785595,88.0963126550651
0.10115794542599,0.0285389419452877,1.1866815644998,1.18633834310299,88.621939838701,3.9500816531997E-05,0.033528333543105,0.0335283102745008,89.9324979693591,0.0666067252596213,2.02790464268233,2.02681049532578,88.1177760207661
0.102329299228075,0.0285525981460286,1.20039969948006,1.20006007668405,88.6370392553142,3.95944445557864E-05,0.0339165681460359,0.0339165450346089,89.9331124814653,0.0666172860195126,2.05134863539483,2.05026665610589,88.1389996428613
0.103514216667934,0.0285662131097639,1.21427663309928,1.21394057233437,88.6519756601925,3.96902066582929E-05,0.0343092977637479,0.0343092748062242,89.9337182051232,0.0666277814585986,2.07506432457328,2.07399438038165,88.159986227611
0.10471285480509,0.0285797833968538,1.22831420647417,1.22798167160885,88.6667509453158,3.97881357491224E-05,0.0347065744253603,0.034706551618496,89.9343152474648,0.0666382094887174,2.09905485727515,2.09799681670076,88.1807384481389
0.105925372517729,0.028593305612498,1.24251428214042,1.24218523747349,88.6813669752138,3.98882646001332E-05,0.0351084507621085,0.0351084281026899,89.9349037153232,0.0666485680861805,2.12332341709513,2.12227715012828,88.201258944867
0.107151930523761,0.0286067764099834,1.25687874429773,1.25655315455053,88.6958255873235,3.99906258118562E-05,0.0355149800143259,0.0355149574991695,89.9354837152554,0.0666588552929695,2.14787322458571,2.14683860266748,88.2215503259508
0.10839269140212,0.028620192493809,1.27140949905749,1.27108732936617,88.7101285923529,4.00952517783528E-05,0.0359262160385076,0.0359261936644603,89.9360553535654,0.0666690692179265,2.17270753768263,2.17168443368565,88.2416151677099
0.109647819614319,0.0286335506226811,1.28610847469325,1.28578969060128,88.7242777746496,4.02021746505156E-05,0.0363422133144572,0.0363421910783962,89.9366187363281,0.0666792080376687,2.19782965213533,2.1968179403448,88.2614560150595
0.11091748152624,0.0286468476124489,1.30097762189409,1.30066218934474,88.7382748925703,4.03114262977046E-05,0.0367630269525173,0.0367630048513506,89.9371739694112,0.0666892699975392,2.22324290194243,2.22224245803751,88.281075381936
0.112201845430196,0.028660080338846,1.31601891402071,1.31570679934978,88.7521216788587,4.04230382677192E-05,0.0371887127008855,0.0371886907315514,89.9377211584994,0.0666992534123342,2.24895065979239,2.24796136082782,88.3004757517222
0.113501081567232,0.0286732457401673,1.33123434736458,1.33092551729311,88.7658198410223,4.05370417450011E-05,0.0376193269530154,0.0376193051124834,89.938260409116,0.0667091566669865,2.27495633750923,2.27397806189729,88.319659577668
0.114815362149688,0.0286863408197939,1.34662594140988,1.34632036303712,88.7793710617147,4.06534675070377E-05,0.0380549267551064,0.0380549050403767,89.9387918266469,0.0667189782170253,2.30126338650362,2.30029601399642,88.3386292833102
0.116144861384034,0.0286993626485663,1.36219573909851,1.36189337989495,88.79277699912,4.07723458789032E-05,0.0384955698136797,0.038495548221784,89.9393155163625,0.0667287165890743,2.32787529822924,2.32691870990119,88.3573872628853
0.117489755493953,0.0287123083670759,1.37794580709815,1.37764663489867,88.806039287338,4.08937066858799E-05,0.0389413145032455,0.0389412930312468,89.9398315834408,0.0667383703811085,2.35479560464444,2.3538496828752,88.3759358817421
0.118850222743702,0.028725175187741,1.39387823607334,1.39358221907046,88.8191595367735,4.10175792040914E-05,0.0393922198740596,0.0393921985190526,89.94034013299,0.0667479382626437,2.38202787867955,2.38109250713707,88.3942774767489
0.120226443461741,0.0287379603968294,1.40999514095966,1.40970224769704,88.8321393345245,4.11439921090978E-05,0.0398483456599716,0.0398483244190831,89.9408412700706,0.0667574189748605,2.40957573470951,2.40865079833351,88.4124143566967
