"Freq [MHz]","re(Zt(1_T1,1_T1)) []","mag(Zt(1_T1,1_T1)) []","im(Zt(1_T1,1_T1)) []","ang_deg(Zt(1_T1,1_T1)) [deg]","re(Zt(2_T1,1_T1)) []","mag(Zt(2_T1,1_T1)) []","im(Zt(2_T1,1_T1)) []","ang_deg(Zt(2_T1,1_T1)) [deg]","re(Zt(2_T1,2_T1)) []","mag(Zt(2_T1,2_T1)) []","im(Zt(2_T1,2_T1)) []","ang_deg(Zt(2_T1,2_T1)) [deg]"
0.1,0.0342792746258962,1.32840122602664,1.32795886556783,88.521323405001,8.39451474684843E-06,0.0317215189390419,0.0317215178283151,89.9848377288429,0.0399096580078959,1.64542354249184,1.64493946799999,88.6101577050494
0.101546899243308,0.0342844195352959,1.34893708065996,1.34850132597508,88.5436206650973,6.71727627143241E-06,0.0322123333418699,0.0322123326414891,89.9880520427104,0.0399096042639462,1.67086241531611,1.67038571425988,88.6313239482545
0.103117727459306,0.0342897248730552,1.36979082198039,1.36936157049548,88.5655753187826,4.9879945085949E-06,0.0327107456511314,0.0327107452708268,89.9912630840724,0.0399095488616322,1.69669506065821,1.69622562083339,88.6521681605571
0.10471285480509,0.034295195642415,1.39096736487255,1.39054451553927,88.5871925133174,3.20506259815977E-06,0.0332168736555332,0.0332168735009065,89.9944715880808,0.0399094917503435,1.72292756787406,1.72246527878173,88.6726952316827
0.106332657163716,0.0343008370027029,1.41247170032533,1.41205515359736,88.6084773176171,1.36682456539462E-06,0.0337308369779215,0.0337308369502286,89.9976782882973,0.039909432877961,1.74956612064017,1.74911087346093,88.6929099776155
0.107977516232771,0.0343066542742086,1.43430889660978,1.43389855441955,88.6294347233932,-5.28426135671454E-07,0.0342527571042167,0.0342527571001406,90.0008839167973,0.0399093721908133,1.77661699841534,1.77616868598387,88.7128171416883
0.109647819614319,0.0343126529431852,1.4564841004753,1.4560798662111,88.6500696462802,-2.48244813913965E-06,0.0347827574128224,0.0347827573242362,90.004089204305,0.0399093096336374,1.80408657792507,1.80364509470515,88.7324213956574
0.111343960906236,0.0343188386670722,1.47900253836447,1.47860431684785,88.6703869269434,-4.4970537128598E-06,0.0353209632045178,0.0353209629182361,90.0072948803008,0.0399092451495174,1.83198133466917,1.83154657672903,88.7517273407635
0.113066339794964,0.0343252172798071,1.50186951764665,1.50147721511013,88.690391332175,-6.57411036423608E-06,0.0358675017328401,0.0358675011303597,90.0105016731536,0.0399091786798669,1.86030784445285,1.85987970944089,88.770739508776
0.114815362149688,0.0343317947973321,1.52509042787084,1.524703951936,88.7100875559734,-8.71554247843041E-06,0.036422502234967,0.0364225011921957,90.0137103102287,0.0399091101643631,1.88907278494173,1.88865117206259,88.7894623630244
0.116591440117983,0.0343385774233018,1.54867074203795,1.54829000169377,88.7294802206064,-1.09233330090392E-05,0.0369860959631091,0.0369860943500812,90.0169215180039,0.0399090395408932,1.91828293724104,1.91786774723207,88.8079002994146
0.11839499222293,0.0343455715549394,1.57261601789283,1.57224092347441,88.7485738776597,-1.31995252038739E-05,0.0375584162164184,0.0375584138969986,90.0201360221626,0.0399089667455327,1.9479451874995,1.94753632260755,88.8260576474301
0.120226443461741,0.0343527837890513,1.59693189923648,1.59656236240398,88.7673730090726,-1.55462244078903E-05,0.0381395983734283,0.0381395952050008,90.0233545477296,0.0399088917124581,1.97806652853825,1.97766389249682,88.843938671121
0.122086225405907,0.0343602209283005,1.62162411725851,1.62126005097647,88.7858820281559,-1.79655998810505E-05,0.038729779925027,0.0387297757581715,90.0265778191488,0.0399088143739272,2.0086540615052,2.00825755951188,88.8615475700764
0.123974776302894,0.0343678899876159,1.64669849189043,1.64633981040733,88.8041052805971,-2.0459886689209E-05,0.0393291005079821,0.0393290951861341,90.0298065603927,0.0399087346602017,2.03971499755517,2.03932453624951,88.878888480386
0.125892541179417,0.0343757982008057,1.67216093317993,1.67180755200807,88.8220470454516,-2.30313876437854E-05,0.0399377019390205,0.0399376952981168,90.0330414950634,0.0399086524995224,2.07125665955632,2.07087214699799,88.895965475585
0.127839971946302,0.0343839530274289,1.69801744268649,1.69766927858219,88.8397115361179,-2.56824752838599E-05,0.0405557282494773,0.0405557201175853,90.0362833464736,0.0399085678180216,2.10328648382325,2.10290782947049,88.9127825675881
0.129817527504985,0.0343923621598159,1.72427411489884,1.72393108584284,88.8571029013006,-2.84155939277781E-05,0.0411833257205239,0.0411833159174536,90.0395328377472,0.0399084805396875,2.13581202187715,2.13543913656558,88.9293437076085
0.131825673855641,0.0344010335303533,1.75093713867427,1.75059916385244,88.8742252259583,-3.12332617684216E-05,0.0418206429189848,0.0418206312558837,90.0427906918978,0.0399083905863002,2.16884094223346,2.16847373815523,88.9456527870648
0.133864884206999,0.0344099753189772,1.77801279870045,1.77767979848486,88.8910825322386,-3.41380730353559E-05,0.0424678307337564,0.0424678170126857,90.0460576319179,0.0399082978773895,2.20238103221753,2.20201942290073,88.9617136384736
0.135935639087853,0.0344191959609213,1.80550747698002,1.80517937291011,88.9076787803985,-3.71327001973144E-05,0.0431250424128363,0.0431250264263282,90.0493343808398,0.0399082023301406,2.23644019980865,2.23608410009707,88.9775300363311
0.138038426460288,0.0344287041546653,1.83342765433814,1.83310436910234,88.9240178697128,-4.02198962547671E-05,0.0437924336009793,0.0437924151315742,90.0526216618335,0.0399081038593689,2.27102647551296,2.27067580154613,88.9931056979804
0.140173741834677,0.0344385088701885,1.86177991195367,1.86146136937112,88.940103639368,-4.3402497058704E-05,0.0444701623779862,0.0444701411977487,90.0559201982547,0.0399080023774351,2.3061480142656,2.30580268345915,89.0084442844673
0.142342088386434,0.0344486193574213,1.89057093291407,1.89025705791671,88.9559398693442,-4.66834237158393E-05,0.0451583892976428,0.0451583651676565,90.0592307137201,0.039907897794194,2.34181309736279,2.34147302838908,89.0235494013829
0.144543977074593,0.0344590451550136,1.91980750379454,1.91949822240939,88.9715302812831,-5.00656850428045E-05,0.0458572774273192,0.0458572500971581,90.0625539321605,0.0399077900169283,2.378030134424,2.37769524719308,89.0384245996948
0.146779926762207,0.0344697960993777,1.94949651626176,1.94919175559348,88.9868785393428,-5.35523800883135E-05,0.0465669923882417,0.0465669615954181,90.0658905778728,0.0399076789502755,2.41480766538501,2.41447788102584,89.0530733765663
0.14905046433862,0.0344808823339328,1.97964496870259,1.97934465691626,89.0019882510429,-5.71467007345046E-05,0.0472877023964532,0.0472876678658413,90.0692413755846,0.0399075644961757,2.45215436252215,2.45182960336406,89.0674991761623
0.151356124843621,0.0344923143187676,2.01025996787815,2.0099640341823,89.0168629680931,-6.08519343388829E-05,0.0480195783044721,0.048019539747705,90.0726070504802,0.0399074465537908,2.49007903250825,2.4897592220628,89.0817053904455
0.153697451593527,0.0345041028404927,2.04134873060367,2.04105710523356,89.0315061872126,-6.46714664631283E-05,0.048762793643666,0.048762750758506,90.0759883282446,0.0399073250194432,2.52859061850094,2.52827568144393,89.0956953599595
0.156074996309211,0.0345162590224646,2.07291858545453,2.07263119965562,89.0459213509358,-6.86087836668816E-05,0.0495175246673532,0.0495174771370345,90.0793859350966,0.0399071997865509,2.56769820226364,2.56738806441743,89.1094723746012
0.158489319246111,0.0345287943353138,2.10497697449881,2.10469376051052,89.0601118484065,-7.26674763726301E-05,0.0502839503946479,0.0502838978871894,90.0828005978162,0.0399070707455432,2.60741100631985,2.60710559463601,89.1230396743816
0.160940989326254,0.0345417206077843,2.13753145505701,2.13725234609664,89.0740810161607,-7.68512417948937E-05,0.0510622526550614,0.0510621948225491,90.0862330437572,0.0399069377838009,2.64773839614139,2.6474376386835,89.1364004501756
0.163430584272314,0.0345550500379659,2.17058970148905,2.17031463173596,89.087832138896,-8.11638869524699E-05,0.0518526161338774,0.0518525526117153,90.0896840008655,0.0399068007855872,2.68868988237087,2.68839370829768,89.1495578444611
0.165958690743756,0.0345687952048036,2.20415950700921,2.2038884115892,89.1013684502323,-8.56093317478029E-05,0.0526552284183152,0.0526551588244425,90.093154197682,0.0399066596319641,2.73027512307925,2.72998346262801,89.1625149520463
0.168525904475075,0.034582969080037,2.23824878552941,2.23798160049932,89.1146931334578,-9.01916121207104E-05,0.0534702800444972,0.0534702039785716,90.0966443633388,0.0399065142007123,2.77250392605879,2.77221671052891,89.175274820788
0.171132830416178,0.0345975850404595,2.2728655735312,2.2726022358637,89.127809322267,-9.49148832832178E-05,0.0542979645452382,0.0542978815877827,90.1001552275521,0.0399063643662996,2.8153862511522,2.8151034128891,89.187840452297
0.173780082874938,0.0346126568806198,2.30801803196701,2.30775847953561,89.1407201014846,-9.97834230243761E-05,0.0551384784986714,0.0551383882101838,90.1036875206014,0.0399062099997385,2.85893221261837,2.85865368499761,89.2002148026359
0.17646828566195,0.0346281988258528,2.34371444819103,2.34345861975531,89.1534285077811,-0.000104801635098297,0.0559920215777304,0.0559919234977538,90.1072419733044,0.0399060509685761,2.90315208153544,2.90287779894704,89.212400783004
0.179198072237533,0.034644225545783,2.37996323792031,2.37971107311129,89.1659375303754,-0.000109974052686374,0.0568587966005038,0.0568586902466562,90.1108193169799,0.0399058871367783,2.94805628824171,2.94778618607478,89.2244012604138
0.181970085860998,0.0346607521682165,2.41677294722647,2.41652438653221,89.178250111728,-0.000115305341942711,0.0577390095814807,0.0577388944484429,90.1144202834046,0.0399057183646683,2.99365542481508,2.99338943944261,89.2362190583569
0.184784979742229,0.0346777942934674,2.45415225455848,2.45390723930988,89.1903691482238,-0.00012080030561772,0.0586328697837062,0.0586327453421653,90.1180456047591,0.0399055445088613,3.03996024759159,3.03969831635552,89.2478569574596
0.187643417195609,0.0346953680091754,2.49210997279716,2.49186844515391,89.2022974908427,-0.000126463886757809,0.0595405897718657,0.0595404554674126,90.1216960135583,0.0399053654221507,3.08698167972375,3.08672374092023,89.2593176961306
0.190546071796325,0.0347134899055126,2.53065505134168,2.53041695427843,89.2140379458229,-0.000132301172495751,0.0604623854663185,0.0604622407182982,90.125372242582,0.0399051809534871,3.13473081377928,3.1344768066442,89.2706039711962
0.193493627539095,0.0347321770909583,2.56979657822879,2.56956185552147,89.2255932753111,-0.000138317397914919,0.0613984761980993,0.0613983203984116,90.1290750247852,0.0399049909478495,3.183218914381,3.18296877907566,89.2817184385289
0.196486778999347,0.0347514472084815,2.60954378228519,2.60931237849749,89.236966198005,-0.000144517949996786,0.0623490847649101,0.0623489172767585,90.1328050931998,0.0399047952462247,3.23245742088835,3.23221109848545,89.2926637136645
